Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;
H2;-;-;-;X;X;X;-;-;-;-;-;X;-;X;-;-;-;-;-;-;X;-;-;-;-;-;-;X;-;X;-;-;-;X;-;X;X;-;-;-;-;-;-;-;-;
Development;-;-;X;X;X;X;X;X;X;-;X;X;X;X;X;-;X;X;-;X;X;X;X;-;-;-;X;X;X;X;X;-;X;X;X;X;X;X;-;X;-;X;-;-;X;
Hibernate2ndLvlCache;-;-;X;X;X;X;-;X;X;-;X;X;X;X;X;-;X;X;-;-;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQL;-;-;X;X;X;X;X;X;X;-;X;X;X;X;X;-;X;X;-;X;X;X;X;-;-;-;X;X;X;X;X;-;X;X;X;X;X;X;-;X;-;X;-;-;X;
PostgreSQL;-;-;X;-;-;X;-;X;-;-;-;-;-;-;-;-;-;X;-;-;X;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;
Production;-;-;X;X;X;X;X;X;X;-;X;X;X;X;X;-;X;X;-;X;X;X;X;-;-;-;X;X;X;X;X;-;X;X;X;X;X;X;-;X;-;X;-;-;X;
MySql;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;-;X;-;-;-;-;X;
InternationalizationSupport;-;X;-;X;-;X;X;X;X;X;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Base;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
MicroserviceApplication;X;-;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;X;-;-;-;-;X;X;-;
Application;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Oracle12c;-;-;-;-;-;-;-;-;-;-;X;-;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;
DiskBased;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;
UaaServer;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;X;-;X;-;-;-;
